Date,Block,Primary Type,Description,Location Description,Arrest,Domestic,District
05/23/2020 05:35:00 PM,024XX W DIVISION ST,Нападение,SIMPLE,УЛИЦА,false,true,14
03/26/2020 08:20:00 PM,019XX W HOWARD ST,Кража со взломом,FORCIBLE ENTRY,НЕБОЛЬШОЙ РОЗНИЧНЫЙ МАГАЗИН,false,false,24,
04/25/2020 03:05:00 PM,001XX W 79TH ST,Кража,RETAIL THEFT,УНИВЕРМАГ,true,false,6,
04/26/2020 05:30:00 PM,010XX N PINE AVE,Драка,SIMPLE,Тротуар,false,false,15,
06/19/2020 01:15:00 AM,027XX W AUGUSTA BLVD,Драка,AGGRAVATED: HANDGUN,Тротуар,false,false,12,
05/28/2020 08:00:00 PM,070XX S ASHLAND AVE,Драка,DOMESTIC BATTERY SIMPLE,БЕНЗОКОЛОНКА,false,true,7,
07/03/2020 03:43:00 PM,0000X N STATE ST,Кража,RETAIL THEFT,Другое,false,false,1,
06/11/2020 06:55:00 PM,044XX W MAYPOLE AVE,НАРУШЕНИЕ ОБЩЕСТВЕННОГО ПОРЯДКА,RECKLESS CONDUCT,УЛИЦА,true,false,11,
10/04/2020 10:20:00 AM,016XX W 63RD ST,Драка,SIMPLE,УЛИЦА,true,false,7,
03/01/2021 12:29:00 AM,001XX N WESTERN AVE,Ограбление,ARMED: HANDGUN,ОБМЕН ВАЛЮТ,false,false,12,
12/29/2020 10:00:00 AM,071XX S NORMAL BLVD,Нападение,AGGRAVATED:KNIFE/CUTTING INSTR,Квартира,false,true,7,
01/25/2020 12:22:00 AM,015XX N DAYTON ST,Драка,SIMPLE,БАР ИЛИ ТАВЕРНА,false,false,18,
07/30/2020 08:34:00 PM,103XX S VERNON AVE,Драка,SIMPLE,Гараж,false,false,5,
06/12/2020 11:50:00 AM,027XX W 72ND ST,НАРКОТИКИ,POSS: HEROIN(BRN/TAN),УЛИЦА,true,false,8,
07/13/2020 03:30:00 AM,050XX W THOMAS ST,Кража,$500 AND UNDER,Квартира,false,false,15,
05/24/2020 10:55:00 PM,074XX S STONY ISLAND AVE,Драка,DOMESTIC BATTERY SIMPLE,Гараж,false,true,3,
09/29/2020 04:00:00 AM,113XX S FRONT AVE,Кража,TO PROPERTY,ПОДЪЕЗД - ЖИЛОЙ,false,false,5,
07/09/2020 02:00:00 PM,013XX E 52ND ST,УГОН АВТОМОБИЛЯ,AUTOMOBILE,УЛИЦА,false,false,2,
09/26/2020 12:05:00 AM,035XX W 78TH ST,Ограбление,ARMED: HANDGUN,УЛИЦА,false,false,8,
08/30/2020 09:30:00 AM,066XX S ROCKWELL ST,Кража,TO PROPERTY,РЕЗИДЕНЦИЯ,false,false,8,
09/29/2020 02:00:00 PM,038XX W ROOSEVELT RD,Нападение,SIMPLE,БЕНЗОКОЛОНКА,false,false,10,
06/27/2020 08:00:00 PM,050XX S DR MARTIN LUTHER KING JR DR,ДРУГОЕ НАРУШЕНИЕ,TELEPHONE THREAT,РЕЗИДЕНЦИЯ,false,false,2,
06/04/2020 08:45:00 PM,088XX S ESCANABA AVE,Кража,$500 AND UNDER,Квартира,true,false,4,
09/19/2020 06:05:00 PM,094XX S VERNON AVE,Нападение,SIMPLE,УЛИЦА,false,false,6,
02/14/2021 08:00:00 PM,042XX N KEDZIE AVE,Кража,TO VEHICLE,УЛИЦА,false,false,17,
05/20/2020 06:30:00 PM,088XX S HOUSTON AVE,ПРАВОНАРУШЕНИЕ В ОТНОШЕНИИ ДЕТЕЙ,ДРУГОЕ НАРУШЕНИЕ,РЕЗИДЕНЦИЯ,false,true,4,
12/29/2020 05:00:00 PM,067XX N MOZART ST,УГОН АВТОМОБИЛЯ,AUTOMOBILE,УЛИЦА,false,false,24,
09/17/2020 02:45:00 PM,023XX S INDIANA AVE,Кража,FROM BUILDING,СКЛАД,true,false,1,
11/19/2020 10:30:00 PM,053XX N CALIFORNIA AVE,Кража,TO VEHICLE,РЕЗИДЕНЦИЯ,false,false,20,
03/04/2021 02:00:00 AM,065XX S ROCKWELL ST,Нападение,TO РЕЗИДЕНЦИЯ,Квартира,false,false,8,
01/13/2021 02:10:00 PM,025XX W CATALPA AVE,Нападение,SIMPLE,УЛИЦА,false,false,20,
